,Country ISO3,Population,In Need,Total Allocation,Beneficiaries-to-Budget Ratio,Country,ISO3,Latitude,Longitude
0,AFG,46024352.0,22887726.0,73438742.96,3.2086517882991084,Afghanistan,AFG,33.93911,67.70995
1,BFA,23449865.0,5915136.0,8997558.19,1.521107577239137,Burkina Faso,BFA,12.23833,-1.56159
2,COL,53110609.0,9053352.0,0.0,0.0,Colombia,COL,4.0,-72.0
3,HTI,11899555.0,5986454.0,2162359.06,0.3612086654303199,Haiti,HTI,19.0,-72.4167
4,MLI,23134540.0,6431534.0,8012337.23,1.2457894539623051,Mali,MLI,17.0,-4.0
5,MMR,57008150.0,19902649.0,35848382.97,1.8011865139158107,Myanmar,MMR,22.0,98.0
6,MOZ,2469082.0,1305029.0,2287877.25,1.7531236853740415,Mozambique,MOZ,-18.6657,35.5296
7,NER,,2580329.0,4998011.6,1.9369667976447964,Niger,NER,16.0,8.0
8,NGA,,7847048.0,19498025.22,2.484759264885343,Nigeria,NGA,9.0,8.0
9,SDN,46790687.0,30440770.0,135176453.0,4.440638426688944,Sudan,SDN,12.8628,30.2176
10,SOM,,5979741.0,57243515.23,9.57290879822387,Somalia,SOM,5.1521,46.1996
11,SSD,13442554.0,9290088.0,44425815.09,4.7820661214404,South Sudan,SSD,6.877,31.307
12,TCD,19373666.0,7049226.0,10616291.93,1.506022353376101,Chad,TCD,15.4542,18.7322
13,UKR,35765386.0,12708866.0,201206937.3,15.832013438492467,Ukraine,UKR,49.0,32.0
14,VEN,27112332.0,7943720.0,8965515.94,1.1286294003313309,Venezuela,VEN,8.0,-66.0
15,YEM,34879018.0,19540217.0,22622083.55,1.1577191568548089,Yemen,YEM,15.5527,48.5164
